2 157 608 2 563 4355 54 0 26 403 380 729 282 104 3 425 507 12 364 688 3 4134 6252 54 0 9022 246 4135 1 0 43 26 10 291 11 22 2095 4 43 2 6 3772 30 7 12 3773 8 157 31 11 95 118 124 198 40 771 37 165 80 15 135 4 795 54 0 143 201 246 371 15 1816 124 72 282 14 2 74 16 26 1 2 66 105 8 77 3 350 183 4 84 13 0 9022 17 1879 45 368 489 1 17 1879 82 120 5722 85 11 79 5723 246 706 36 3 490 44 960 1879 114 3263 114 2952 114 7834 0 246 17 112 32 7 1221 0 88 14 2 1702 12 364 10 169 378 134 4 501 3 2672 5 489 25 11 2 61 0 275 246 27 199 553 59 6913 172 609 4136 521 179 33 381 947 63 19 843 116 0 732 1 7835 56 75 1622 157 159 4 96 39 0 630 182 	5
88 978 4 49 4 2953 23 4137 1 3383 17 478 410 1158 190 15 46 195 1028 5 1045 39 5 0 649 11 17 478 1 43 350 755 5 0 280 220 272 1045 967 7 264 0 516 5 282 60 650 13 60 2219 35 198 3 3774 659 17 117 599 272 967 184 9023 276 9 1880 19 111 18 3 1196 119 89 3050 1 99 125 1432 5 220 0 125 863 5 0 1045 63 29 520 1028 9 253 11 157 1943 1 3 524 5 1388 0 877 133 39 4 54 554 211 3 78 104 1540 466 645 1541 634 216 476 17 20 6253 1505 306 167 6 40 348 81 114 22 2096 149 1 17 127 12 151 32 267 2320 2 158 239 15 137 10 2181 35 37 9 45 410 1158 18 5724 9024 44 21 1159 91 33 28 1 2 70 31 62 	5
111 42 1277 13 0 4356 1 364 16 26 7 0 350 1317 479 1317 1779 756 803 19 491 11 8 6 0 4604 3384 42 18 454 9 341 10 2059 1090 1338 23 686 612 0 588 190 15 103 60 180 19 424 13 0 952 1388 526 662 1 2 830 0 5725 94 13 1318 212 558 1448 22 55 394 202 13 2954 11 6 41 207 364 22 0 796 3640 13 6254 2 382 167 1 36 0 28 6 128 32 29 68 41 742 1 618 206 1 220 1817 32 7 59 1542 109 11 3385 1319 5726 30 72 30 55 212 383 32 7 145 3 78 678 10 0 62 2372 381 1117 810 47 3386 3139 1117 810 1078 30 72 30 651 2429 1172 1 79 299 2 492 239 3 559 4 4357 678 9 3 146 199 428 180 	5
2 399 31 2860 1 1320 11 16 7 21 3 200 1029 205 2 1849 4 105 0 205 7 3 24 26 10 3 4138 9 749 568 961 556 1 1126 1070 9 253 221 9 1255 1070 414 20 4 49 1506 10 3 4138 8 7 33 1643 13 381 1289 16 205 61 2752 	3
1046 74 16 205 20 64 3 2097 9 6255 14 6 41 419 13 0 1358 121 1091 87 193 517 10 2861 1222 93 77 868 397 56 3051 304 87 11 156 32 743 142 2321 18 0 1263 36 29 1622 39 5 3 250 237 18 125 560 1753 27 45 205 15 635 4 426 38 11 60 182 1622 244 979 858 2861 10 7836 372 50 37 2532 3140 296 16 6 89 1818 304 87 2011 40 7837 36 45 2060 383 4 5279 0 1210 154 114 687 4 443 0 79 205 317 82 4 1404 3 5280 9 38 465 93 3387 36 29 1622 39 5 0 703 9025 1037 1278 0 1263 67 1197 766 4139 332 2 1575 11 0 1263 1558 3509 703 3775 18 0 275 154 250 237 18 0 4358 27 45 205 3510 4 163 8 228 20 3509 48 18 0 1263 3775 93 145 3387 36 797 29 1622 39 114 505 2 843 8 1321 47 43 5 60 5727 1 8 6 1198 73 	2
101 116 127 3 1449 1 531 4 31 589 181 4 0 581 201 4140 41 1685 21 4 980 8 6 3140 296 11 154 2 254 4 31 589 1506 14 0 3141 1819 6 11 16 6 36 11 6 686 926 4 1728 72 2 127 1449 14 93 40 127 194 1819 11 19 480 4 31 3 1450 547 4 407 1506 2 441 8 130 208 67 80 12 323 1754 45 479 2 66 	2
4605 689 2955 1264 4 125 139 208 574 0 196 23 41 24 1 0 113 6 41 107 375 38 497 13 55 6256 0 422 6 146 1 207 30 10 252 29 350 900 139 218 507 789 18 0 373 29 68 146 1 974 2 22 3 384 689 3 2753 689 877 54 195 554 0 384 6 330 14 0 2753 6 90 2 4141 0 462 113 878 4 3 397 1 259 39 11 17 112 408 5 0 1780 933 42 211 124 235 666 9 118 44 1240 4359 	3
72 69 4142 9 0 2956 174 56 1132 196 574 3775 1 40 337 174 151 80 0 205 3776 1370 16 624 2 20 114 4143 9 0 26 25 2 158 360 730 8 292 35 60 221 9 55 330 4910 3388 27 1576 2532 116 117 16 7 60 624 4 49 152 204 1 31 5281 12 229 	1
19 404 1030 0 143 97 147 213 125 240 89 0 5728 1405 8 7 267 165 123 1241 0 143 5728 534 1 1433 34 0 2182 6257 97 45 56 7 33 19 99 3 131 1 136 2 228 20 1223 118 4 103 3 131 47 3 143 1974 395 97 874 646 141 13 143 1974 690 1 1265 8 470 62 3142 5 2754 13 12 4144 9026 1339 44 6 0 118 2755 646 141 	3
27 4606 3 559 4 9 52 229 1662 380 240 62 2673 87 4 498 1 0 5 194 530 5 2061 0 276 5729 5 1 6258 885 52 229 23 145 757 3511 240 527 14 123 12 201 864 20 9 0 5 3 78 1623 1 1359 3777 47 12 219 1038 74 2 20 47 0 201 498 1881 905 9 5282 80 37 165 1 58 1975 10 544 4360 10 544 444 3 143 7838 531 4361 498 10 605 2756 429 429 429 81 91 4361 498 10 12 3933 2 237 0 212 325 498 197 1 0 4911 498 2183 1 0 280 127 222 167 6 1301 1 286 31 62 4 96 0 724 0 97 7 3 564 242 4912 1434 268 5 3 130 4145 914 13 3 129 374 307 1 3 498 107 326 3389 37 2757 1 37 1644 49 1109 96 8 15 40 414 1559 10 74 	5
